source_id,source_type,title,url,accessed_date,scope,notes
SRC-LEGACY-SNAPSHOT,project_snapshot,Original researcher-provided mapping snapshot,,2026-07-11,Uncorrected inherited records,Not individually verified; do not treat as a legal-source citation
SRC-WIKI-2001,wikipedia,2001年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2001年中华人民共和国县级以上行政区划变更列表,2026-07-11,伊犁地区撤销,Secondary source
SRC-WIKI-2002,wikipedia,2002年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2002年中华人民共和国县级以上行政区划变更列表,2026-07-12,南宁地区撤销并分为崇左市和南宁市辖县,Secondary source checked against county composition
SRC-WIKI-2003,wikipedia,2003年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2003年中华人民共和国县级以上行政区划变更列表,2026-07-11,思茅地区改市及中卫设市;临沧年份校正,Secondary source
SRC-WIKI-2011,wikipedia,2011年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2011年中华人民共和国县级以上行政区划变更列表,2026-07-11,地级巢湖市撤销,Secondary source
SRC-WIKI-2012,wikipedia,2012年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2012年中华人民共和国县级以上行政区划变更列表,2026-07-11,三沙市设立,Secondary source
SRC-WIKI-2014,wikipedia,2014年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2014年中华人民共和国县级以上行政区划变更列表,2026-07-11,昌都地区改市,Secondary source
SRC-WIKI-2015,wikipedia,2015年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2015年中华人民共和国县级以上行政区划变更列表,2026-07-11,儋州升为地级市,Secondary source
SRC-WIKI-2019,wikipedia,2019年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2019年中华人民共和国县级以上行政区划变更列表,2026-07-11,莱芜撤销并入济南,Secondary source; approval was in 2018 and implementation/publication in 2019
SRC-WIKI-DIQING,wikipedia,迪庆藏族自治州,https://zh.wikipedia.org/wiki/迪庆藏族自治州,2026-07-11,E533400 level-mismatch correction,Secondary source; county-level Shangri-La history removed from prefecture entity
